,Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount,AcctgRuleCd
0,2026-03-25,Reinvest Shares,DODLX,DODGE & COX GLOBAL BOND I,1.529,$11.16,,-17.06,2
1,2026-03-25,Reinvest Dividend,DODLX,DODGE & COX GLOBAL BOND I,,,,17.06,2
2,2026-03-30,Qualified Dividend,WMB,WILLIAMS COS INC,,,,52.50,2
3,2026-03-30,Cash Dividend,SCHD,SCHWAB U.S. DIVIDEND EQUITY ETF,,,,25.69,2
4,2026-03-31,Non-Qualified Div,SPG,SIMON PPTY GROUP INC NEWREIT,,,,220.00,2
5,2026-03-31,Cash Dividend,PLD,PROLOGIS INC REIT,,,,107.00,2
6,2026-03-31,Reinvest Shares,SWVXX,SCHWAB PRIME ADVANTAGE MONEY INVESTOR,5.7,$1.00,,-5.70,1
7,2026-03-31,Reinvest Shares,SWVXX,SCHWAB PRIME ADVANTAGE MONEY INVESTOR,21.82,$1.00,,-21.82,2
8,2026-03-31,Reinvest Shares,PSAIX,PIMCO GLOBAL ADVANTAGE STRATEGY BD INSTL,1.107,$10.23,,-11.32,2
9,2026-03-31,Reinvest Dividend,SWVXX,SCHWAB PRIME ADVANTAGE MONEY INVESTOR,,,,5.70,1
10,2026-03-31,Reinvest Dividend,SWVXX,SCHWAB PRIME ADVANTAGE MONEY INVESTOR,,,,21.82,2
11,2026-03-31,Reinvest Dividend,PSAIX,PIMCO GLOBAL ADVANTAGE STRATEGY BD INSTL,,,,11.32,2
12,2026-04-01,Qualified Dividend,NVDA,NVIDIA CORP,,,,1.00,2
13,2026-04-01,Bond Interest,655867TY5,NORFOLK VA 5%27GO UTX DUE 10/01/27,,,,125.00,2
14,2026-04-15,Cash Dividend,CUBE,CUBESMART REIT,,,,212.00,2
15,2026-04-15,Qualified Dividend,OXY,OCCIDENTAL PETE CORP,,,,26.00,2
16,2026-04-17,Qualified Dividend,MDT,MEDTRONIC PLC F,,,,71.00,2
17,2026-04-28,Cash Dividend,AMT,AMERICAN TOWER CORP NEW REIT,,,,179.00,2
18,2026-04-30,Bond Interest,91282CDG3,US TREASU NT 1.125%10/26UST NOTE DUE 10/31/26,,,,28.12,2
19,2026-04-30,Reinvest Shares,SWVXX,SCHWAB PRIME ADVANTAGE MONEY INVESTOR,27.56,$1.00,,-27.56,2
20,2026-04-30,Reinvest Shares,PSAIX,PIMCO GLOBAL ADVANTAGE STRATEGY BD INSTL,0.785,$10.29,,-8.08,2
21,2026-04-30,Reinvest Dividend,SWVXX,SCHWAB PRIME ADVANTAGE MONEY INVESTOR,,,,27.56,2
22,2026-04-30,Reinvest Dividend,PSAIX,PIMCO GLOBAL ADVANTAGE STRATEGY BD INSTL,,,,8.08,2
23,2026-05-01,Qualified Dividend,T,AT&T INC,,,,249.75,2
24,2026-05-01,Qualified Dividend,VZ,VERIZON COMMUNICATIONS I,,,,353.75,2
25,2026-05-01,Qualified Dividend,BMY,BRISTOL MYERS SQUIBB CO,,,,126.00,2
26,2026-05-04,Qualified Dividend,CVS,CVS HEALTH CORP,,,,66.50,2
27,2026-05-05,Qualified Dividend,ASML,ASML HLDG N V FSPONSORED ADR 1 ADR REPS 1 ORD SHS,,,,6.34,2
28,2026-05-15,Qualified Dividend,AOS,SMITH A O CORP,,,,36.00,2
29,2026-05-15,Qualified Dividend,KMI,KINDER MORGAN INC DEL,,,,29.75,2
30,2026-05-22,Qualified Dividend,SCHW,CHARLES SCHWAB CORP,,,,64.00,2
